STATEFP,COUNTYFP,TRACTCE,GEOID,GEOID_Dub,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
06,037,401002,06037401002,6037401002.000000000000000,4010.02,Census Tract 4010.02,G5020,S,1473432.000000000000000,0.000000000000000,+34.1415042,-117.8658886,16006.318885999065969,16067043.755564952269197
06,037,401101,06037401101,6037401101.000000000000000,4011.01,Census Tract 4011.01,G5020,S,3011646.000000000000000,3558.000000000000000,+34.1234558,-117.8541745,25238.328689625119296,32881234.124210592359304
06,037,401102,06037401102,6037401102.000000000000000,4011.02,Census Tract 4011.02,G5020,S,1282147.000000000000000,0.000000000000000,+34.1310435,-117.8666620,16039.372511523060894,13981743.755012581124902
06,037,403322,06037403322,6037403322.000000000000000,4033.22,Census Tract 4033.22,G5020,S,2319581.000000000000000,0.000000000000000,+33.9909931,-117.8357133,27422.319946048683050,25308912.222057521343231
06,023,001101,06023001101,6023001101.000000000000000,11.01,Census Tract 11.01,G5020,S,9632340.000000000000000,0.000000000000000,+40.8882600,-124.0978256,48941.665469633713656,103659427.762844771146774
06,059,021813,06059021813,6059021813.000000000000000,218.13,Census Tract 218.13,G5020,S,4245501.000000000000000,450651.000000000000000,+33.8581232,-117.8046708,41041.256672575145785,51266571.971215240657330
06,059,032057,06059032057,6059032057.000000000000000,320.57,Census Tract 320.57,G5020,S,3312567.000000000000000,0.000000000000000,+33.5686208,-117.6387221,34181.342352829778974,36205792.632597990334034
06,037,113211,06037113211,6037113211.000000000000000,1132.11,Census Tract 1132.11,G5020,S,7280768.000000000000000,3053.000000000000000,+34.2675047,-118.6227776,38156.738343000113673,79388308.927060633897781
06,037,113212,06037113212,6037113212.000000000000000,1132.12,Census Tract 1132.12,G5020,S,998550.000000000000000,0.000000000000000,+34.2606831,-118.6024264,14296.961129820641872,10883694.083761062473059
06,037,128910,06037128910,6037128910.000000000000000,1289.10,Census Tract 1289.10,G5020,S,1298037.000000000000000,38748.000000000000000,+34.1616765,-118.4585185,17517.510103245116625,14575814.005031678825617
06,037,131010,06037131010,6037131010.000000000000000,1310.10,Census Tract 1310.10,G5020,S,1056713.000000000000000,9979.000000000000000,+34.2147349,-118.5382540,14664.014008337811902,11628427.625103006139398
06,037,131020,06037131020,6037131020.000000000000000,1310.20,Census Tract 1310.20,G5020,S,1428939.000000000000000,16026.000000000000000,+34.2001766,-118.5395023,17724.405705500561453,15753033.794245282188058
06,037,131100,06037131100,6037131100.000000000000000,1311,Census Tract 1311,G5020,S,1101835.000000000000000,0.000000000000000,+34.2146244,-118.5056231,14268.562727172822633,12011574.701831858605146
06,037,131200,06037131200,6037131200.000000000000000,1312,Census Tract 1312,G5020,S,1128421.000000000000000,0.000000000000000,+34.2147262,-118.5142310,14573.719261842805281,12301402.356133775785565
06,037,403323,06037403323,6037403323.000000000000000,4033.23,Census Tract 4033.23,G5020,S,3016464.000000000000000,0.000000000000000,+33.9980595,-117.8237197,25403.476802355438849,32911572.721897706389427
06,037,403324,06037403324,6037403324.000000000000000,4033.24,Census Tract 4033.24,G5020,S,9353225.000000000000000,1467.000000000000000,+33.9789045,-117.8167380,48693.602907863401924,102072762.933266803622246
06,037,406300,06037406300,6037406300.000000000000000,4063,Census Tract 4063,G5020,S,5078216.000000000000000,4067.000000000000000,+34.0549939,-117.8778643,32012.671604715716967,55437507.215919867157936
06,037,406402,06037406402,6037406402.000000000000000,4064.02,Census Tract 4064.02,G5020,S,978714.000000000000000,0.000000000000000,+34.0580051,-117.9005028,16029.819133104412685,10675893.400194182991982
06,055,201004,06055201004,6055201004.000000000000000,2010.04,Census Tract 2010.04,G5020,S,2649358.000000000000000,1415.000000000000000,+38.1612495,-122.2397673,24415.645231648850313,28587789.064063977450132
06,055,201601,06055201601,6055201601.000000000000000,2016.01,Census Tract 2016.01,G5020,S,6246212.000000000000000,80272.000000000000000,+38.5025801,-122.4521131,52765.139258429502661,68194434.569955319166183
06,055,200301,06055200301,6055200301.000000000000000,2003.01,Census Tract 2003.01,G5020,S,2809779.000000000000000,95021.000000000000000,+38.2878675,-122.2739715,25313.354864685767097,31321139.596817333251238
06,055,200505,06055200505,6055200505.000000000000000,2005.05,Census Tract 2005.05,G5020,S,751793.000000000000000,4908.000000000000000,+38.3152192,-122.2812515,14335.792873709862761,8158797.504704206250608
06,055,200707,06055200707,6055200707.000000000000000,2007.07,Census Tract 2007.07,G5020,S,1490145.000000000000000,0.000000000000000,+38.3234476,-122.3205427,17112.512632747453608,16066686.276092831045389
06,055,201602,06055201602,6055201602.000000000000000,2016.02,Census Tract 2016.02,G5020,S,6329966.000000000000000,84532.000000000000000,+38.5082184,-122.4787754,42214.059792926476803,69142536.957952558994293
06,055,201007,06055201007,6055201007.000000000000000,2010.07,Census Tract 2010.07,G5020,S,1316770.000000000000000,0.000000000000000,+38.1608335,-122.2597004,17121.908271332780714,14200914.471930567175150
06,055,200302,06055200302,6055200302.000000000000000,2003.02,Census Tract 2003.02,G5020,S,1949554.000000000000000,8549.000000000000000,+38.2874461,-122.2590353,27669.447472504794860,21113309.600868333131075
06,055,201003,06055201003,6055201003.000000000000000,2010.03,Census Tract 2010.03,G5020,S,72227916.000000000000000,210833.000000000000000,+38.2374277,-122.2312963,187303.069746495166328,781143983.285285115242004
06,037,241202,06037241202,6037241202.000000000000000,2412.02,Census Tract 2412.02,G5020,S,1163227.000000000000000,0.000000000000000,+33.9334312,-118.2857529,14130.663324952121911,12694852.226474210619926
06,037,406500,06037406500,6037406500.000000000000000,4065,Census Tract 4065,G5020,S,2022163.000000000000000,24258.000000000000000,+34.0663578,-117.9188723,20388.873032489467732,22321782.211136747151613
06,037,406601,06037406601,6037406601.000000000000000,4066.01,Census Tract 4066.01,G5020,S,1968195.000000000000000,0.000000000000000,+34.0557370,-117.9166732,18748.680074982046790,21469402.735902473330498
06,037,572100,06037572100,6037572100.000000000000000,5721,Census Tract 5721,G5020,S,676132.000000000000000,113160.000000000000000,+33.8224328,-118.2032005,13770.298021340700870,8617710.213157517835498
06,037,262501,06037262501,6037262501.000000000000000,2625.01,Census Tract 2625.01,G5020,S,1635118.000000000000000,3278.000000000000000,+34.0503509,-118.5202383,20061.080960516213963,17872290.079234968870878
06,037,264103,06037264103,6037264103.000000000000000,2641.03,Census Tract 2641.03,G5020,S,230523.000000000000000,0.000000000000000,+34.0549771,-118.4662764,7419.755841203572345,2514587.034268999937922
06,037,239702,06037239702,6037239702.000000000000000,2397.02,Census Tract 2397.02,G5020,S,486273.000000000000000,0.000000000000000,+33.9622020,-118.2750006,10132.543077512482341,5306297.042155891656876
06,037,239802,06037239802,6037239802.000000000000000,2398.02,Census Tract 2398.02,G5020,S,609444.000000000000000,0.000000000000000,+33.9624080,-118.2629489,11327.646088452811455,6650396.609112175181508
06,037,265601,06037265601,6037265601.000000000000000,2656.01,Census Tract 2656.01,G5020,S,623099.000000000000000,0.000000000000000,+34.0558599,-118.4327259,11542.206884572058698,6796875.304767511785030
06,037,461501,06037461501,6037461501.000000000000000,4615.01,Census Tract 4615.01,G5020,S,1004066.000000000000000,0.000000000000000,+34.1741650,-118.1372082,13725.203455885277435,10947466.663649344816804
06,037,650605,06037650605,6037650605.000000000000000,6506.05,Census Tract 6506.05,G5020,S,484186.000000000000000,3639.000000000000000,+33.8453408,-118.3504673,9291.168915730397202,5325725.960675311274827
