FID_TractsCensusDataJoined_2020to2022_V2_Projected,GEOID,GEOID_Dub,OBJECTID_1,GEO_ID,TtlPop_Hsp_2020,TtlPop_Hsp_2021,TtlPop_Hsp_2022,WHTE_2020,WHTE_2021,WHTE_2022,TtlPop_SxAge_2020,TtlPop_SxAge_2021,TtlPop_SxAge_2022,AGE_2020,AGE_2021,AGE_2022,Area_Tract_SqMiles,FID_DMABoundaries_CA,OBJECTID_12,ID,NAME,STATE_NAME,ST_ABBREV,esri_dma_P,TOTPOP_CY,Shape_Length,Shape_Area,Area_Intscs_SqMiles,Area_Wght
5763,06085507906,6085507906.000000000000000,7158,6085507906,4386,4410,4481,781,737,648,4386,4410,4481,1494,1573,1650,0.550560657453721,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,17544.679490296937729,15402776.261315183714032,0.550560657453721,1.000000000000000
5779,06085506601,6085506601.000000000000000,7123,6085506601,4122,3921,3887,1515,1419,1334,4122,3921,3887,1757,1613,1469,0.604927426734709,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,16756.894126062717987,16924093.624110031872988,0.604927426734709,1.000000000000000
5780,06085506603,6085506603.000000000000000,7124,6085506603,4277,4087,4252,2028,2106,1924,4277,4087,4252,1823,1634,1716,0.494123046242455,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,15346.863012305542725,13824420.715685544535518,0.494123046242455,1.000000000000000
5781,06085506605,6085506605.000000000000000,7126,6085506605,4558,4347,4397,1734,1706,1559,4558,4347,4397,2006,1666,1738,0.385791223386093,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,13593.932011454853637,10793202.771620094776154,0.385791223386093,1.000000000000000
5792,06085508101,6085508101.000000000000000,7162,6085508101,6786,6522,6519,1861,1703,1729,6786,6522,6519,2881,2633,2582,1.023990401173453,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,21470.411659769808466,28646008.988600231707096,1.023990401173453,1.000000000000000
5798,06001450701,6001450701.000000000000000,330,6001450701,8399,8575,8738,4043,4267,3949,8399,8575,8738,2922,3036,3246,103.157414865355534,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,303258.180273865640629,2884502626.691929340362549,103.157414865355534,1.000000000000000
5835,06001442200,6001442200.000000000000000,288,6001442200,7440,7426,7293,1109,1241,948,7440,7426,7293,3022,2888,2991,1.618225453797275,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,35930.809462210170750,45251021.475446507334709,1.618225453797275,1.000000000000000
5838,06075980501,6075980501.000000000000000,6480,6075980501,153,104,129,0,0,0,153,104,129,0,0,0,0.571932422957842,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,23252.157726957066188,15987563.588081067427993,0.571932422957842,1.000000000000000
5839,06085510400,6085510400.000000000000000,7211,6085510400,3875,3937,3767,2002,1951,1829,3875,3937,3767,1727,1772,1628,0.661146773558426,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,22156.211167298322835,18493179.165435783565044,0.661146773558426,1.000000000000000
5840,06085510700,6085510700.000000000000000,7214,6085510700,5169,5291,4784,2038,2089,1999,5169,5291,4784,2385,2593,2253,0.557019727286292,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,22926.807496321940562,15579776.701955897733569,0.557019727286292,1.000000000000000
5863,06085509106,6085509106.000000000000000,7187,6085509106,4067,4264,4264,1165,1442,1419,4067,4264,4264,2037,2133,2292,0.380415291639373,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,13655.085634138693422,10641012.168506026268005,0.380415291639373,1.000000000000000
5864,06085509108,6085509108.000000000000000,7189,6085509108,4146,4674,4549,1579,1451,1315,4146,4674,4549,2021,2206,1980,0.886869902120070,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,26068.250029414855817,24806503.564705118536949,0.886869902120070,1.000000000000000
5877,06085510801,6085510801.000000000000000,7215,6085510801,5837,5802,5595,2441,2248,2051,5837,5802,5595,2160,2295,2116,0.847502029626902,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,20505.839515783583920,23704072.206119112670422,0.847502029626902,1.000000000000000
5878,06085510802,6085510802.000000000000000,7216,6085510802,2061,2041,1997,1091,995,1050,2061,2041,1997,702,778,734,0.360844424694943,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,12738.881344120269205,10092837.651609407737851,0.360844424694943,1.000000000000000
5879,06085510803,6085510803.000000000000000,7217,6085510803,3259,3331,3435,1478,1504,1498,3259,3331,3435,1469,1564,1606,0.390521182922943,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,13136.728787957485110,10922762.447338713333011,0.390521182922943,1.000000000000000
5880,06085510900,6085510900.000000000000000,7218,6085510900,5392,5267,5122,2812,2730,2609,5392,5267,5122,2049,2082,1887,0.638564529844451,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,17415.826964577758190,17860204.168388120830059,0.638564529844451,1.000000000000000
5881,06085511000,6085511000.000000000000000,7219,6085511000,6630,7140,7208,2594,2683,2701,6630,7140,7208,3036,3443,3394,0.767108079091731,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,18479.301601627779746,21455050.666375681757927,0.767108079091731,1.000000000000000
5892,06085511100,6085511100.000000000000000,7220,6085511100,5610,5593,5643,3089,2599,2427,5610,5593,5643,2146,2118,2104,0.847186223988540,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,20635.163758677696023,23694346.121773578226566,0.847186223988540,1.000000000000000
5893,06085511400,6085511400.000000000000000,7224,6085511400,3496,3617,3705,1916,2006,2008,3496,3617,3705,1337,1367,1326,0.593302649940555,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,17253.740934935576661,16593984.797332350164652,0.593302649940555,1.000000000000000
5894,06085512024,6085512024.000000000000000,7252,6085512024,5286,5125,4977,2302,2215,2273,5286,5125,4977,2120,2016,2089,0.616962586068733,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,16799.116515458703361,17261978.310125365853310,0.616962586068733,1.000000000000000
5895,06085512025,6085512025.000000000000000,7253,6085512025,3029,3008,2983,1248,1230,1170,3029,3008,2983,1075,1095,1155,0.481849683096682,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,15089.971429484152395,13481647.144128039479256,0.481849683096682,1.000000000000000
5896,06085512026,6085512026.000000000000000,7254,6085512026,3865,3734,3680,875,933,805,3865,3734,3680,1777,1693,1657,0.851925629991950,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,20890.730382224035566,23836105.686322286725044,0.851925629991950,1.000000000000000
5899,06001443200,6001443200.000000000000000,304,6001443200,4157,3847,3611,657,588,516,4157,3847,3611,1707,1478,1341,5.600360733741902,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,50908.956128814039403,156619367.189247369766235,5.600360733741902,1.000000000000000
5901,06085509109,6085509109.000000000000000,7190,6085509109,5885,6374,6572,2358,2402,2132,5885,6374,6572,3389,3613,3816,0.809493620572157,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,20880.659177979116066,22642636.695640821009874,0.809493620572157,1.000000000000000
5902,06085509201,6085509201.000000000000000,7191,6085509201,5979,5903,5611,2936,2846,2430,5979,5903,5611,3132,2867,2658,0.605868927355614,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,19097.749382904152299,16946642.625401411205530,0.605868927355614,1.000000000000000
5904,06085512027,6085512027.000000000000000,7255,6085512027,4552,4354,4237,1675,1545,1638,4552,4354,4237,1935,1779,1695,0.673193506125075,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,25125.456105886391015,18835562.576936092227697,0.673193506125075,1.000000000000000
5909,06001443103,6001443103.000000000000000,301,6001443103,4097,4111,4125,813,775,775,4097,4111,4125,1533,1512,1521,6.442908956149901,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,62233.647152432698931,180168033.247597962617874,6.442908956149901,1.000000000000000
5917,06085509202,6085509202.000000000000000,7192,6085509202,4429,4313,4137,1799,1945,1959,4429,4313,4137,2070,2014,1941,0.603898692387989,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,17962.977500575074373,16891370.087255429476500,0.603898692387989,1.000000000000000
5918,06085509302,6085509302.000000000000000,7193,6085509302,3549,3619,3535,1754,1676,1621,3549,3619,3535,1251,1302,1258,0.406711243834502,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,14255.218576135444891,11375854.708856340497732,0.406711243834502,1.000000000000000
5924,06041124200,6041124200.000000000000000,3582,6041124200,5303,5609,5703,4237,4803,4554,5303,5609,5703,1538,1745,1759,6.920847007527054,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,73286.227823132867343,112294795.973393633961678,4.018362930179028,0.580617217200249
5927,06041128100,6041128100.000000000000000,3587,6041128100,7380,7477,7360,5440,5961,5636,7380,7477,7360,2677,2645,2509,3.575480662138942,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,69910.783477189921541,99919815.491643503308296,3.575480662138942,1.000000000000000
5928,06041121200,6041121200.000000000000000,3578,6041121200,6458,6619,6256,4733,4573,4563,6458,6619,6256,2416,2349,2225,3.805295144291605,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,76409.503492757314234,65181777.607521690428257,2.332664418347079,0.613004860305344
5929,06041126200,6041126200.000000000000000,3585,6041126200,4347,4320,4180,3330,3030,2710,4347,4320,4180,1476,1423,1459,1.487576249943688,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,47282.018702491921431,37014716.606611214578152,1.324586917600218,0.890432956058797
5950,06085509303,6085509303.000000000000000,7194,6085509303,3699,3639,3816,1530,1384,1394,3699,3639,3816,1633,1544,1676,0.221458782384004,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,10560.651303351709430,6194319.343822554685175,0.221458782384004,1.000000000000000
5962,06085512402,6085512402.000000000000000,7285,6085512402,5344,5601,5246,2176,2354,2328,5344,5601,5246,2110,1999,1830,19.304303577047829,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,157729.506126780557679,540306684.962969779968262,19.304303577047829,1.000000000000000
5978,06085505304,6085505304.000000000000000,7097,6085505304,3559,3469,3598,951,969,947,3559,3469,3598,1713,1627,1642,0.394752050780646,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,15529.181524538562371,11042471.537462307140231,0.394752050780646,1.000000000000000
5979,06085505305,6085505305.000000000000000,7098,6085505305,5831,6071,5626,2237,2139,1992,5831,6071,5626,2813,2803,2252,0.590186960477079,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,17084.871064712002408,16509428.877688083797693,0.590186960477079,1.000000000000000
5980,06085505401,6085505401.000000000000000,7099,6085505401,6799,6501,6630,1444,1491,1622,6799,6501,6630,4044,3681,3704,0.451396127693186,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,15365.731436546302575,12627263.221635796129704,0.451396127693186,1.000000000000000
6002,06085512029,6085512029.000000000000000,7256,6085512029,8204,8002,7849,3953,3841,3292,8204,8002,7849,3717,3720,3791,0.735114701267560,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,20432.709746092285059,20568311.668999511748552,0.735114701267560,1.000000000000000
6021,06085512030,6085512030.000000000000000,7257,6085512030,3167,3219,2922,1661,1414,1336,3167,3219,2922,1359,1335,1194,0.460126235480593,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,17761.852699793922511,12874618.587441518902779,0.460126235480593,1.000000000000000
6029,06085512034,6085512034.000000000000000,7261,6085512034,2901,2832,2932,1245,1205,1160,2901,2832,2932,1188,1097,1082,0.402717886773298,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,16754.891957246800303,11268378.114440597593784,0.402717886773298,1.000000000000000
6030,06085509304,6085509304.000000000000000,7195,6085509304,3197,3101,2936,1137,1081,983,3197,3101,2936,1699,1567,1472,0.602205270713830,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,18483.792777464990650,16843611.186812613159418,0.602205270713830,1.000000000000000
6041,06085511702,6085511702.000000000000000,7229,6085511702,2649,2726,2829,1646,1569,1634,2649,2726,2829,1004,1007,1054,1.015152635912353,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,26240.917785246336280,28397415.030036319047213,1.015152635912353,1.000000000000000
6042,06085511905,6085511905.000000000000000,7234,6085511905,2959,3306,2969,1310,1288,1491,2959,3306,2969,1007,1256,1065,0.488268780338425,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,18385.574020371754159,13662589.494056915864348,0.488268780338425,1.000000000000000
6043,06085512505,6085512505.000000000000000,7287,6085512505,7856,8166,7947,1900,1608,1258,7856,8166,7947,4069,4195,4076,1.025772185975535,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,24053.239706022905011,28714841.317135129123926,1.025772185975535,1.000000000000000
6049,06041127000,6041127000.000000000000000,3586,6041127000,4660,4599,4588,4031,3898,3944,4660,4599,4588,1381,1456,1592,1.730624474793086,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,53280.823218595927756,48360478.652078785002232,1.730624474793086,1.000000000000000
6051,06041124100,6041124100.000000000000000,3581,6041124100,5801,5399,5430,4262,4073,4302,5801,5399,5430,1935,1665,1591,3.466788663564178,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,50495.694234020418662,66273543.962289914488792,2.371643345633806,0.684103813583935
6082,06041122000,6041122000.000000000000000,3579,6041122000,2458,2156,1559,501,409,357,2458,2156,1559,1122,906,491,0.243389041888160,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,13193.549437624489656,6763633.319836549460888,0.242055732473357,0.994521900392640
6083,06041123000,6041123000.000000000000000,3580,6041123000,2235,2303,2312,1988,2017,2024,2235,2303,2312,753,789,818,2.407189817109319,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,24586.553168559257756,16799857.256674394011497,0.601159843554548,0.249735122374543
6084,06041125000,6041125000.000000000000000,3583,6041125000,4252,4396,4534,2807,3064,3085,4252,4396,4534,1673,1706,1746,1.489602267945987,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,38776.183270114685001,27778134.116749148815870,0.994032665149511,0.667314145889549
6089,06041119100,6041119100.000000000000000,3573,6041119100,5060,5091,5149,4453,4448,4279,5060,5091,5149,1814,1865,1857,2.596633952995984,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,54615.086125822148460,72555576.728446513414383,2.596633952995984,1.000000000000000
6092,06041121100,6041121100.000000000000000,3577,6041121100,5331,5752,5749,4136,4465,4535,5331,5752,5749,2101,2442,2383,1.430688093652721,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,38146.468421109166229,39978121.341561995446682,1.430688093652721,1.000000000000000
6093,06041126100,6041126100.000000000000000,3584,6041126100,6283,6237,6105,5710,5671,5648,6283,6237,6105,2265,2255,2270,2.045945751033798,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,46282.194559211187880,57171629.804153546690941,2.045945751033798,1.000000000000000
6094,06041128200,6041128200.000000000000000,3588,6041128200,5246,5385,5297,4352,4482,4302,5246,5385,5297,1950,2040,1947,1.536377140672021,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,60021.152602604124695,42928795.331858329474926,1.536200996264982,0.999885350801976
6097,06085509401,6085509401.000000000000000,7196,6085509401,3994,4117,4318,1195,1335,1591,3994,4117,4318,2215,2210,2250,0.256879697010793,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,11198.998913423965860,7185047.183738757856190,0.256879697010793,1.000000000000000
6098,06085509403,6085509403.000000000000000,7197,6085509403,5534,5553,4895,1558,1528,1535,5534,5553,4895,4197,4114,3411,0.203251674360120,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,9869.770649724203395,5685148.411562743596733,0.203251674360120,1.000000000000000
6099,06085509404,6085509404.000000000000000,7198,6085509404,6398,6436,6382,2258,2003,2209,6398,6436,6382,2944,3145,3265,0.404910076768400,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,13546.329934350045733,11325644.533564738929272,0.404910076768400,1.000000000000000
6100,06085509500,6085509500.000000000000000,7199,6085509500,5321,5292,5409,2184,1967,1941,5321,5292,5409,3257,3061,2966,0.379212301328898,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,13059.895157480539638,10607018.697474284097552,0.379212301328898,1.000000000000000
6101,06085512005,6085512005.000000000000000,7245,6085512005,6965,6880,6633,3415,3209,3063,6965,6880,6633,2929,2985,2825,0.934745030783135,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,22379.563437915596296,26152678.122127439826727,0.934745030783135,1.000000000000000
6140,06085509600,6085509600.000000000000000,7200,6085509600,3562,3547,3630,1393,1350,1479,3562,3547,3630,1896,1961,1988,0.404897846693935,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,16729.814212256995233,11325557.770019115880132,0.404897846693935,1.000000000000000
6141,06085509700,6085509700.000000000000000,7201,6085509700,3087,3237,3040,1899,1836,1672,3087,3237,3040,1465,1524,1381,0.404345678099033,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,14966.137292721145059,11310238.854584507644176,0.404345678099033,1.000000000000000
6142,06085509802,6085509802.000000000000000,7203,6085509802,3056,3155,3158,1523,1569,1518,3056,3155,3158,1286,1321,1439,0.358561435976491,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,12874.299805867907708,10029710.749289900064468,0.358561435976491,1.000000000000000
6154,06085509901,6085509901.000000000000000,7204,6085509901,2294,2404,2472,1449,1644,1681,2294,2404,2472,899,956,961,0.537981265606756,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,16860.053706665097707,15048744.330699563026428,0.537981265606756,1.000000000000000
6202,06041129000,6041129000.000000000000000,3589,6041129000,2713,2808,2922,940,1011,1011,2713,2808,2922,1291,1311,1524,0.521241693699166,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,18037.308435544891836,14566609.994760153815150,0.521241693699166,1.000000000000000
6203,06041132100,6041132100.000000000000000,3593,6041132100,1926,1826,1742,1724,1630,1447,1926,1826,1742,346,318,313,20.702568428106932,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,175677.922511962213321,457695907.302318751811981,16.379431598750259,0.791178720438989
6216,06085508602,6085508602.000000000000000,7179,6085508602,5153,5300,5575,2296,2316,2385,5153,5300,5575,2476,2701,2877,0.517621188869112,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,15488.251888610391688,14479121.175480591133237,0.517621188869112,1.000000000000000
6226,06085509902,6085509902.000000000000000,7205,6085509902,4925,5196,5157,2437,2299,2370,4925,5196,5157,1790,1920,1983,0.860638764891754,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,22674.126793242012354,24074292.450620044022799,0.860638764891754,1.000000000000000
6257,06069000100,6069000100.000000000000000,5279,6069000100,4923,5421,5504,2196,2226,2063,4923,5421,5504,2030,2335,2501,152.714055656346829,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,188797.029925959330285,983626.224910548538901,0.035130965045898,0.000230044083990
6258,06069000200,6069000200.000000000000000,5280,6069000200,6928,6903,6584,3366,3884,3558,6928,6903,6584,2955,2699,2445,66.810344985613540,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,1343.791482967651746,9973.671940188174631,0.000356182574991,0.000005331248852
6272,06075026201,6075026201.000000000000000,9761,6075026201,3849,3825,3651,144,136,143,3849,3825,3651,1397,1365,1417,0.168793796824230,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,12497.505456991428218,4718466.359823303297162,0.168793796824230,1.000000000000000
6273,06075026202,6075026202.000000000000000,9762,6075026202,4036,3839,3863,253,336,340,4036,3839,3863,1095,1156,1160,0.130238524695060,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,7724.815591058801147,3640666.284239999484271,0.130238524695060,1.000000000000000
6418,06085508403,6085508403.000000000000000,7171,6085508403,3084,3275,3320,1732,1750,1695,3084,3275,3320,1233,1275,1303,0.491478192681657,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,15708.094107778222678,13748322.528209902346134,0.491478192681657,1.000000000000000
6436,06075061402,6075061402.000000000000000,9779,6075061402,2400,2537,2331,1019,1088,1187,2400,2537,2331,1319,1388,1151,0.152027816955896,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,8720.399417548062047,4249422.865423663519323,0.152027816955896,1.000000000000000
6439,06075045201,6075045201.000000000000000,9769,6075045201,3357,3360,3104,1165,1197,1203,3357,3360,3104,1485,1502,1168,0.136652021008029,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,8309.839336893994187,3819502.169250131119043,0.136652021008029,1.000000000000000
6440,06075035102,6075035102.000000000000000,9768,6075035102,4575,4760,4458,1429,1222,1250,4575,4760,4458,1681,1771,1821,0.209766770554671,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,10805.282402892629761,5863339.165353959426284,0.209766770554671,1.000000000000000
6468,06081606800,6081606800.000000000000000,6749,6081606800,3761,3744,3809,2031,1897,1875,3761,3744,3809,1451,1412,1435,1.114841523602109,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,36629.859332658037602,31175025.963491600006819,1.114841523602109,1.000000000000000
6487,06081609100,6081609100.000000000000000,6778,6081609100,1563,1621,1478,956,963,852,1563,1621,1478,669,711,586,1.286925862124603,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,36600.191693895380013,35949521.625662662088871,1.285532129203997,0.998917006051688
6488,06081610304,6081610304.000000000000000,6797,6081610304,4566,4540,4497,1993,1895,1908,4566,4540,4497,1642,1685,1710,1.449132833367896,7,196,807,"San Francisco-Oakland-San Jose, CA",California,CA,11147.893700000000536,7082824,35435.958168124510848,36859230.623252078890800,1.318110782584803,0.909585893186487
