,GEO_ID,E_Total_population_SX_AGE_2020,E_HSPNC_Total_population_2020,E_NOTHSPNC_White_alone_2020,P_NOTHSPNC_White_alone_2020,E_Under35_SX_AGE_2020,E_Total_population_SX_AGE_2021,E_HSPNC_Total_population_2021,E_NOTHSPNC_White_alone_2021,P_NOTHSPNC_White_alone_2021,E_Under35_SX_AGE_2021,E_Total_population_SX_AGE_2022,E_HSPNC_Total_population_2022,E_NOTHSPNC_White_alone_2022,P_NOTHSPNC_White_alone_2022,E_Under35_SX_AGE_2022
335,6001450400,7757,314,841,10.8,2309.3,8145,431,1039,12.8,2431.9,7886,7886,7886,7886,2444.1
336,6001450501,3097,14,119,3.8,1064.4,3309,0,173,5.2,1093,3400,3400,3400,3400,1135.3
337,6001450502,5811,57,178,3.1,1704.7,6083,51,91,1.5,1738.5,6266,6266,6266,6266,1727.6
338,6001450601,3645,52,195,5.3,908.6,3645,40,150,4.1,935.7,3666,3666,3666,3666,968.8
339,6001450603,5070,140,320,6.3,1802.5,5062,141,424,8.4,1825.4,4897,4897,4897,4897,1737.5
340,6001450604,5345,51,307,5.7,1683.6,5178,54,270,5.2,1654.3,4993,4993,4993,4993,1555.1
341,6001450605,3815,16,87,2.3,1349.9,3787,19,89,2.4,1360.8,3814,3814,3814,3814,1363.2
342,6001450606,6059,14,203,3.4,1861.8,6033,0,156,2.6,1822,6028,6028,6028,6028,1744.4
343,6001450607,5360,105,296,5.5,1493.1,5541,192,200,3.6,1535.4,5182,5182,5182,5182,1385.8
344,6001450608,4773,231,102,2.1,1794.7,4646,272,157,3.4,1669.2,4658,4658,4658,4658,1661.5
345,6001450609,4988,266,74,1.5,1277.3,4810,277,153,3.2,1209.5,4928,4928,4928,4928,1202.4
346,6001450701,8399,192,402,4.8,2448.6,8575,120,268,3.1,2672.1,8738,8738,8738,8738,2690.8
347,6001450741,5936,237,1139,19.2,1956.4,5983,167,921,15.4,2099.4,5742,5742,5742,5742,1835.1
348,6001450742,5419,62,384,7.1,1571.9,5365,93,365,6.8,1616,5495,5495,5495,5495,1543
349,6001450743,7056,372,526,7.5,2650.4,7236,587,604,8.3,2504.5,7435,7435,7435,7435,2399.7
350,6001450744,5950,60,270,4.5,1856.3,5916,56,481,8.1,1918.7,5818,5818,5818,5818,1802.7
351,6001450745,6493,41,303,4.7,2042.4,6473,45,259,4,2009.6,6295,6295,6295,6295,1993.2
352,6001450746,3531,43,494,14,1342.4,3302,38,508,15.4,1254.8,3229,3229,3229,3229,1264.3
353,6001450750,5933,439,378,6.4,2187.1,6625,458,412,6.2,2223.1,6858,6858,6858,6858,2195.8
354,6001450751,11489,292,465,4,4274.3,12700,431,528,4.2,4812,12662,12662,12662,12662,4919.1
355,6001450752,7680,265,501,6.5,2883.2,8915,296,539,6,3233.5,9631,9631,9631,9631,3569
356,6001451102,4071,43,157,3.9,1364.4,3973,43,122,3.1,1335.5,3950,3950,3950,3950,1280
357,6001451103,1795,15,93,5.2,729.2,1588,21,41,2.6,621.8,1361,1361,1361,1361,525
358,6001451104,7280,105,1029,14.1,2387,7154,44,975,13.6,2265.7,7164,7164,7164,7164,2640.9
359,6001451201,7683,321,1202,15.6,2574.6,7563,313,1501,19.8,2332.5,7569,7569,7569,7569,2330.7
360,6001451202,5230,85,647,12.4,1513.2,5529,118,676,12.2,1575.2,5482,5482,5482,5482,1536
361,6001451300,7013,225,1722,24.6,2253.9,6473,201,1686,26,2004.9,6393,6393,6393,6393,1991.5
362,6001451401,6336,386,1575,24.9,1927.8,6416,585,1923,30,1884.9,6166,6166,6166,6166,1808
363,6001451403,2367,21,482,20.4,721.4,2195,23,371,16.9,630.1,2184,2184,2184,2184,646.1
364,6001451404,7261,146,3405,46.9,2440.5,6923,114,3647,52.7,2401.6,6631,6631,6631,6631,2334.3
365,6001451501,4499,106,493,11,1057.6,4486,286,509,11.3,1137.6,4496,4496,4496,4496,1144.5
366,6001451503,6442,248,804,12.5,1888.9,5822,218,859,14.8,1624.9,6104,6104,6104,6104,1779
367,6001451504,1630,17,364,22.3,578.3,1585,16,323,20.4,578.7,1539,1539,1539,1539,572.6
368,6001451505,3608,27,490,13.6,1033.5,3434,31,456,13.3,1035.9,3159,3159,3159,3159,970.2
369,6001451506,3542,142,918,25.9,1262.6,3379,114,998,29.5,1340.9,3548,3548,3548,3548,1396.5
370,6001451601,5730,7,475,8.3,1718.5,5314,0,433,8.1,1527.1,5367,5367,5367,5367,1590.9
371,6001451602,7329,366,853,11.6,1840.5,6967,340,869,12.5,1790.6,6909,6909,6909,6909,1723.5
372,6001451701,3091,90,398,12.9,1075.7,3088,112,392,12.7,1067.9,2936,2936,2936,2936,977.8
373,6001451703,4150,45,311,7.5,1380.6,4005,108,294,7.3,1345.8,3827,3827,3827,3827,1234.6
374,6001451704,4692,8,456,9.7,1355.4,4282,10,386,9,1210.4,4320,4320,4320,4320,1255.1
375,6001981900,47,0,6,12.8,95.8,18,0,7,38.9,28.6,25,25,25,25,25
376,6001982000,26,5,3,11.5,116.7,48,6,5,10.4,269.2,50,50,50,50,92.3
377,6001982100,1002,53,62,6.2,815.7,1020,83,98,9.6,867,923,923,923,923,838.8
